feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
DM,clinic4_aec_uplow_ratio,external,1123,335,0.2983081032947462,0.6783544207894537,,0.6463392248815866,0.7128419232062916,0.13911514474784284,0.8029850746268656,0.4213197969543147,0.5351736420302761,,,
DM,clinic4_vat_fpca_elbow,internal,1259,233,0.18506751389992057,0.7186773961279395,0.04377664008552265,,,0.13911514474784284,0.7938020351526365,0.5175230878522378,0.568747233289066,0.04107391386841924,0.04033526710604643,0.031297414553239325
DM,clinic4_vat_fpca_elbow,external,1123,335,0.2983081032947462,0.6693385862565346,,0.6368779109164681,0.7031808376641179,0.13911514474784284,0.7910447761194029,0.4302030456852792,0.5378450578806767,,,
DM,clinic4_vat_uplow_ratio,internal,1259,233,0.18506751389992057,0.7169307542962715,0.0440534610646371,,,0.13911514474784284,0.8367252543940795,0.5194600994553634,0.5782742047682287,0.05786528959511294,0.03402450097134293,0.027017623513367377
DM,clinic4_vat_uplow_ratio,external,1123,335,0.2983081032947462,0.6766308053640427,,0.6426958244443189,0.7102762715664389,0.13911514474784284,0.8029850746268656,0.41624365482233505,0.5316117542297417,,,
DM,clinic4_sat_fpca_elbow,internal,1259,233,0.18506751389992057,0.7279190626723004,0.043389980986763235,,,0.13911514474784284,0.8109158186864015,0.5106843476201752,0.5663631189527604,0.049158886666882486,0.03865955087618659,0.029096791126127664
DM,clinic4_sat_fpca_elbow,external,1123,335,0.2983081032947462,0.6710546253504053,,0.6378821081078916,0.705492841286148,0.13911514474784284,0.7940298507462686,0.4263959390862944,0.5360641139804097,,,
DM,clinic4_sat_uplow_ratio,internal,1259,233,0.18506751389992057,0.7213919785992,0.04319524923934056,,,0.13911514474784284,0.8063829787234041,0.5106843476201752,0.5655663062037564,0.06101924803986746,0.04104782275818058,0.027477711123798085
DM,clinic4_sat_uplow_ratio,external,1123,335,0.2983081032947462,0.6683763921509205,,0.6353319752722688,0.7032850640746451,0.13911514474784284,0.7940298507462686,0.4263959390862944,0.5360641139804097,,,
DM,clinic4_imata_fpca_elbow,internal,1259,233,0.18506751389992057,0.7293633866608193,0.03868646162644517,,,0.13911514474784284,0.8153561517113783,0.5379966848212171,0.5893948017453994,0.035488680552856845,0.03187277904522291,0.02773885702037061
DM,clinic4_imata_fpca_elbow,external,1123,335,0.2983081032947462,0.6836275475414804,,0.6501056698651636,0.7162129046087733,0.13911514474784284,0.8388059701492537,0.39086294416243655,0.5244879786286732,,,
DM,clinic4_imata_uplow_ratio,internal,1259,233,0.18506751389992057,0.7147922274019,0.04482088622512241,,,0.13911514474784284,0.8365402405180389,0.5067677006867155,0.5679440966293556,0.06010217837531175,0.04279019876457475,0.02853218686792833
DM,clinic4_imata_uplow_ratio,external,1123,335,0.2983081032947462,0.6670391696340631,,0.6330708506166065,0.7005891793536809,0.13911514474784284,0.7970149253731343,0.41243654822335024,0.5271593944790739,,,
DM,clinic4_nama_fpca_elbow,internal,1259,233,0.18506751389992057,0.7261327434035412,0.044267613435417366,,,0.13911514474784284,0.8108233117483812,0.5272602415344542,0.5798551824448238,0.05120908699476875,0.03513936449144485,0.0236383138195578
DM,clinic4_nama_fpca_elbow,external,1123,335,0.2983081032947462,0.6749564360936434,,0.6428657289695636,0.7084238224842789,0.13911514474784284,0.8686567164179104,0.33248730964467005,0.4924309884238646,,,
DM,clinic4_nama_uplow_ratio,internal,1259,233,0.18506751389992057,0.7178617140661585,0.044146461127864,,,0.13911514474784284,0.8408880666049953,0.503859815297182,0.5663536330867008,0.04548388443640893,0.03779055729710423,0.02490080092505656
DM,clinic4_nama_uplow_ratio,external,1123,335,0.2983081032947462,0.6590461398590801,,0.6246840630909313,0.6935218387004609,0.13911514474784284,0.7850746268656716,0.42258883248730966,0.5307212822796082,,,
DM,clinic4_lama_fpca_elbow,internal,1259,233,0.18506751389992057,0.7220677129757027,0.047180114897768397,,,0.13911514474784284,0.8152636447733581,0.5194695713947431,0.5743027888446215,0.05130391748187297,0.03158058227654436,0.026062671670537822
DM,clinic4_lama_fpca_elbow,external,1123,335,0.2983081032947462,0.6688044548829456,,0.6356590273158222,0.7025766646910835,0.13911514474784284,0.826865671641791,0.3819796954314721,0.5146927871772039,,,
DM,clinic4_lama_uplow_ratio,internal,1259,233,0.18506751389992057,0.7146948508706232,0.04235156112580517,,,0.13911514474784284,0.8365402405180389,0.5067771726260952,0.5679440966293556,0.04149593567104884,0.04358568869159394,0.029615432559607097
DM,clinic4_lama_uplow_ratio,external,1123,335,0.2983081032947462,0.6686453519206002,,0.6352046978129811,0.7023641751268632,0.13911514474784284,0.7880597014925373,0.4251269035532995,0.5333926981300089,,,
DM,clinic4_tama_fpca_elbow,internal,1259,233,0.18506751389992057,0.7197067006523239,0.045363044166215546,,,0.13911514474784284,0.8320999074930621,0.5087189201989106,0.5687503952444192,0.06888133941169612,0.05219236800307848,0.03550985331738932
DM,clinic4_tama_fpca_elbow,external,1123,335,0.2983081032947462,0.6686188347602091,,0.6354293182354147,0.7025371484206054,0.13911514474784284,0.817910447761194,0.383248730964467,0.5129118432769367,,,
DM,clinic4_tama_uplow_ratio,internal,1259,233,0.18506751389992057,0.7191718602788176,0.04471798011613102,,,0.13911514474784284,0.8367252543940795,0.512621359223301,0.5727028394359072,0.047055034151311625,0.03616937909185478,0.024624951410973657
DM,clinic4_tama_uplow_ratio,external,1123,335,0.2983081032947462,0.6585801954693538,,0.6244378190012884,0.6926689338938805,0.13911514474784284,0.7970149253731343,0.4137055837563452,0.5280498664292075,,,
DM,clinic4_aec_slope,internal,1259,233,0.18506751389992057,0.7311434387652481,0.0458055425450467,,,0.13911514474784284,0.8239592969472712,0.5311579445891547,0.5854170619110859,0.04999963630350001,0.03041416873432198,0.02700294395030642
DM,clinic4_aec_slope,external,1123,335,0.2983081032947462,0.683559360557618,,0.6510888386025776,0.716875603746545,0.13911514474784284,0.8656716417910447,0.3223350253807107,0.4844167408726625,,,
