rank,original_feature_index,feature
411,1637,smooth_norm__norm_curv_109_116_sd
412,11845,smooth_visual__visual_norm_abs_slope_088_097_mean
413,12604,smooth_visual__visual_norm_curv_109_114_max
414,2375,smooth_norm__norm_haar_b16_091_122
415,13034,smooth_visual__visual_norm_curv_079_096_sd
416,13195,smooth_visual__visual_norm_curv_088_111_min
417,2074,smooth_norm__norm_curv_088_111_min
418,2210,smooth_norm__norm_haar_b04_103_110
419,2270,smooth_norm__norm_haar_b08_101_116
420,10818,smooth_visual__visual_norm_slope_109_114_sd
421,11870,smooth_visual__visual_norm_abs_slope_106_115_sd
422,1030,smooth_norm__log_slope_106_113_mean
423,1946,smooth_norm__norm_curv_103_118_min
424,1774,smooth_norm__norm_curv_091_102_min
425,12882,smooth_visual__visual_norm_curv_079_092_sd
426,12010,smooth_visual__visual_norm_abs_slope_091_104_sd
427,2071,smooth_norm__norm_curv_085_108_max
428,13192,smooth_visual__visual_norm_curv_085_108_max
429,2926,smooth_norm__logcontrast_log_tail_114_128_minus_log_recover_081_113
430,2924,smooth_norm__logcontrast_log_tail_120_128_minus_log_recover_075_090
431,10568,smooth_visual__visual_mid_flatness__early_049_064__mid_069_084__tail_097_124
432,2087,smooth_norm__norm_curv_097_120_max
433,13208,smooth_visual__visual_norm_curv_097_120_max
434,2915,smooth_norm__logcontrast_log_tail_120_128_minus_log_trough_060_095
435,12434,smooth_visual__visual_norm_abs_slope_079_110_sd
436,11557,smooth_visual__visual_norm_slope_091_122_mean
437,872,smooth_norm__norm_slope_091_122_mean
438,7624,smooth_visual__visual_mid_flatness__early_025_056__mid_057_080__tail_113_124
439,12884,smooth_visual__visual_norm_curv_079_092_max
440,734,smooth_norm__norm_slope_103_118_mean
441,10973,smooth_visual__visual_norm_slope_103_112_mean
442,1926,smooth_norm__norm_curv_088_103_min
443,867,smooth_norm__norm_slope_082_113_sd
444,11546,smooth_visual__visual_norm_slope_082_113_sd
445,13043,smooth_visual__visual_norm_curv_085_102_min
446,10094,smooth_visual__visual_mid_flatness__early_045_060__mid_061_076__tail_109_120
447,1769,smooth_norm__norm_curv_088_099_sd
448,2327,smooth_norm__norm_haar_b12_101_124
449,1108,smooth_norm__log_slope_103_114_mean
450,11133,smooth_visual__visual_norm_slope_103_116_mean
451,6304,smooth_visual__visual_mid_flatness__early_017_048__mid_045_076__tail_113_124
452,479,smooth_norm__norm_slope_082_085_sd
453,1607,smooth_norm__norm_curv_085_092_max
454,2956,smooth_norm__late_rebound_height_max91_128_minus_min60_95
455,2860,smooth_norm__contrast_tail_114_128_minus_recover_075_090
456,10472,smooth_visual__visual_mid_flatness__early_049_064__mid_057_080__tail_097_124
457,943,smooth_norm__log_slope_100_103_sd
458,1773,smooth_norm__norm_curv_091_102_sd
459,1324,smooth_norm__log_slope_091_122_mean
460,732,smooth_norm__norm_slope_100_115_mean
461,2650,smooth_norm__log_haar_b12_099_122
462,9760,smooth_visual__visual_mid_flatness__early_041_056__mid_069_084__tail_113_124
463,12890,smooth_visual__visual_norm_curv_085_098_sd
464,6712,smooth_visual__visual_mid_flatness__early_021_044__mid_045_076__tail_113_124
465,10040,smooth_visual__visual_mid_flatness__early_045_060__mid_053_084__tail_097_124
466,495,smooth_norm__norm_slope_106_109_sd
467,2743,smooth_norm__log_haar_b24_081_128
468,9638,smooth_visual__visual_mid_flatness__early_041_056__mid_053_084__tail_109_120
469,727,smooth_norm__norm_slope_091_106_sd
470,13063,smooth_visual__visual_norm_curv_100_117_min
471,11688,smooth_visual__visual_norm_abs_slope_091_096_max
472,11281,smooth_visual__visual_norm_slope_100_117_mean
473,13060,smooth_visual__visual_norm_curv_097_114_max
474,1626,smooth_norm__norm_curv_100_107_min
475,1013,smooth_norm__log_slope_079_086_sd
476,2324,smooth_norm__norm_haar_b12_095_118
