feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
DM,clinic4_vatsat_aec,external,Revolution EVO,149,57,0.6897406559877957,0.8245614035087719,0.44565217391304346,0.5906040268456376
DM,clinic4_vatsat_aec,external,SOMATOM Definition AS+,165,41,0.7065302911093627,0.7804878048780488,0.5806451612903226,0.6303030303030303
DM,clinic4_vatsat_aec,external,SOMATOM Force,123,33,0.7585858585858586,0.9090909090909091,0.4888888888888889,0.6016260162601627
DM,clinic4_vatsat_aec,external,LightSpeed VCT,50,9,0.7235772357723577,0.7777777777777778,0.5121951219512195,0.56
DM,clinic4_vatsat_aec,external,SOMATOM Definition Flash,228,78,0.6643589743589744,0.7692307692307693,0.47333333333333333,0.5745614035087719
DM,clinic4_vatsat_aec,external,Sensation 64,48,17,0.6527514231499051,0.9411764705882353,0.2903225806451613,0.5208333333333334
DM,clinic4_vatsat_aec,internal,SOMATOM Definition AS+,180,44,0.7235962566844919,0.9545454545454546,0.38235294117647056,0.5222222222222223
DM,clinic4_vatsat_aec,internal,Ingenuity Core 128,202,38,0.7171052631578947,0.631578947368421,0.676829268292683,0.6683168316831684
DM,clinic4_vatsat_aec,internal,Revolution CT,317,51,0.743844906383606,0.7647058823529411,0.6428571428571429,0.6624605678233438
DM,clinic4_vatsat_aec,internal,Sensation 64,380,69,0.7627568852229833,0.7971014492753623,0.6366559485530546,0.6657894736842105
HTN,clinic4,external,iCT 256,135,47,0.6902804642166345,0.6595744680851063,0.6477272727272727,0.6518518518518519
HTN,clinic4,external,Revolution EVO,149,88,0.7151639344262295,0.6136363636363636,0.7049180327868853,0.6510067114093959
HTN,clinic4,external,SOMATOM Definition AS+,165,76,0.7054997043169723,0.7368421052631579,0.6067415730337079,0.6666666666666666
HTN,clinic4,external,SOMATOM Force,123,58,0.7124668435013263,0.6896551724137931,0.6615384615384615,0.6747967479674797
HTN,clinic4,external,LightSpeed VCT,50,13,0.7193347193347194,0.5384615384615384,0.7567567567567568,0.7
HTN,clinic4,external,SOMATOM Definition Flash,228,96,0.7430555555555556,0.71875,0.6439393939393939,0.6754385964912281
HTN,clinic4,external,Sensation 64,48,29,0.6406533575317604,0.7931034482758621,0.42105263157894735,0.6458333333333334
HTN,clinic4,internal,SOMATOM Definition AS+,180,79,0.7254041859882191,0.7468354430379747,0.5643564356435643,0.6444444444444445
